Title,Directors
Inception,Christopher Nolan
The Matrix,"Lana Wachowski,Lilly Wachowski"
Avengers: Infinity War,"Anthony Russo,Joe Russo"
Back to the Future,Robert Zemeckis
The Good the Bad and the Ugly,Sergio Leone
Spider-Man: Into the Spider-Verse,"Bob Persichetti,Peter Ramsey,Rodney Rothman"
The Pianist,Roman Polanski
Django Unchained,Quentin Tarantino
Raiders of the Lost Ark,Steven Spielberg
Inglourious Basterds,Quentin Tarantino
Taxi Driver,Martin Scorsese
3 Idiots,Rajkumar Hirani
Pan's Labyrinth,Guillermo del Toro
Room,Lenny Abrahamson
Monty Python and the Holy Grail,"Terry Gilliam,Terry Jones"
Once Upon a Time in the West,Sergio Leone
Indiana Jones and the Last Crusade,Steven Spielberg
Groundhog Day,Harold Ramis
The King's Speech,Tom Hooper
Her,Spike Jonze
There Will Be Blood,Paul Thomas Anderson
The Social Network,David Fincher
Dallas Buyers Club,Jean-Marc Vall?©e
The Perks of Being a Wallflower,Stephen Chbosky
Life of Brian,Terry Jones
Ex Machina,Alex Garland
Silver Linings Playbook,David O. Russell
District 9,Neill Blomkamp
The Irishman,Martin Scorsese
Moon,Duncan Jones
Marriage Story,Noah Baumbach
Drive,Nicolas Winding Refn
Train to Busan,Sang-ho Yeon
Incredibles 2,Brad Bird
Dangal,Nitesh Tiwari
Klaus,"Sergio Pablos,Carlos Mart??nez L??pez"
Minority Report,Steven Spielberg
Mystic River,Clint Eastwood
Like Stars on Earth,"Aamir Khan,Amole Gupte"
Ferris Bueller's Day Off,John Hughes
Despicable Me,"Pierre Coffin,Chris Renaud"
Hell or High Water,David Mackenzie
Sin City,"Frank Miller,Robert Rodriguez,Quentin Tarantino"
Ip Man,Wilson Yip
Indiana Jones and the Temple of Doom,Steven Spielberg
The Theory of Everything,James Marsh
The Pursuit of Happyness,Gabriele Muccino
Senna,Asif Kapadia
Scott Pilgrim vs. the World,Edgar Wright
Magnolia,Paul Thomas Anderson
The Hateful Eight,Quentin Tarantino
The Artist,Michel Hazanavicius
Moonlight,Barry Jenkins
Back to the Future Part II,Robert Zemeckis
Willy Wonka & the Chocolate Factory,Mel Stuart
What's Eating Gilbert Grape,Lasse Hallstr??m
The Curious Case of Benjamin Button,David Fincher
A Silent Voice,Naoko Yamada
Snowpiercer,
Hugo,Martin Scorsese
Ant-Man and the Wasp,Peyton Reed
As Good as It Gets,James L. Brooks
Back to the Future Part III,Robert Zemeckis
Searching for Sugar Man,Malik Bendjelloul
